,fips,stname,ctyname,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0,1001,Alabama,Autauga County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,2.2,3.4,4.6,5.6,6,6.2,6.6,7.4,8.6,9.8,10.8,11.6,12,12,12.6,13.6,15,16.4,17.8,19.4,20.8,22.2,23.6,24.8,25.4,26.2,27,28.2,29.8,31.8,33.4,34.8,36.2,37.6,39,40.6,41.6,42.8
1,1003,Alabama,Baldwin County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,2,2.6,3,3.6,4.2,5.6,7.8,10.6,13.4,16.4,19.2,21.8,24,26,29.6,33.2,36.4,41.8,47.8,53.4,59.2,64.8,71,77.4,84.4,90.8,98.2,103.2,108.4,112.8,118.6,125.4,132.4,138.4,146,153.2,158.8,164.2,169.6,172.4,175
2,1005,Alabama,Barbour County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,1,1.4,2,2.4,2.8,4.2,5.6,7,8.4,9.8,10.4,11.4,12.4,14,15.8,17.8,20.6,23.4,25.8,28.2,30.2,31.2,32.4,33.8,34.8,36.2,38,39.6
3,1007,Alabama,Bibb County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1,1.6,2.4,3.2,3.6,4,4.8,5.6,6.6,7.6,8.8,10,11.6,13.2,14.8,16.2,18,19.6,21.4,23.6,26.4,28.4,30.4,31.8,33,33.4,34.6,36.2,38,39.6,41.2,42,42
4,1009,Alabama,Blount County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,1.4,2.4,3.4,4.2,4.8,5,5.2,6,7,8,9,9.8,10,10.2,10.6,11,11.6,12.4,13.4,14.4,15.6,17,18.2,19.2,20.2,21.8,23.6,25.8,27.8,29.6,31.2,32.2,32.8,33.8,35,36,37.2
5,1011,Alabama,Bullock County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.8,1.4,2,2.6,2.8,3,2.8,2.6,2.4,2.2,2,2,2.2,2.4,2.8,3.2,3.6,4,5,5.8,6.6,7.4,8.2,8.4,9,9.6,10.2,10.8,11.4,11.6,11.8,12,12,12,12.2,12.6,13
6,1013,Alabama,Butler County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.6,0.8,1,1,1,1,1,1,1,1,1,1.2,1.4,1.8,2.2,3.2,4.2,5.4,6.4,7.6,8.6,10.4,11.4,12.6,13.6,14.4,14.6,15.8,17.2,18.6,22,25.4,30.6,36.4,42.8,49.4,61
7,1015,Alabama,Calhoun County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2.2,2.4,2.6,3.8,5.2,6.8,8.6,11.6,14.2,17,21.6,27.4,33.6,40,46.2,50.8,54.4,56.8,58.6,60.2,61.2,62,63,64.8,68.4,72.6,77,81.4,85,86.8,88.4,89.4,90.2,91,92,92.4,94
8,1017,Alabama,Chambers County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.8,1.2,1.6,2.4,4,6.4,8.6,11.6,16,20.6,25.2,31,41,51.6,62.4,73,83.4,90.2,96,108.8,124.6,142,161.4,182,195,205.6,215.6,223.2,228.8,234.6,241.8,247.4,254.2,261.2,268.6,273.6,278.8,282.6,285.8,288,290.6,291.6,292.6
9,1019,Alabama,Cherokee County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.6,0.8,1.2,1.4,1.6,1.8,2.4,3,3.8,4.6,5.4,5.8,6.2,6.4,6.6,6.8,7.2,7.6,8,8.4,9.2,10,10.6,11.2,11.8,12.2,12.4,12.4,12.4,12.4,12.6,12.8,13.4,14,14.6,14.8,15
10,1021,Alabama,Chilton County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,2.2,3.6,5,6.8,8.2,9.6,11,12.6,13.6,14.4,15.6,16.8,17.8,19.8,22,24.2,26.2,28.8,30.4,32.2,33.6,35,36.2,37.8,39.4,40.8,42.6,44.2,45.8,47,48.4,49.4,50.4,51.2,52,52.2,52.8
11,1023,Alabama,Choctaw County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.6,0.8,1.2,1.6,2.2,2.8,3.4,3.8,4.2,4.4,4.8,5.2,5.6,5.8,6.4,7.2,8,9.2,10.4,11.4,12,12.8,13.2,14.2,15.2,16.8,18.4,20.6,22.2,25,28.6,32,34.8,38.4,41.8,43.8
12,1025,Alabama,Clarke County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1,2.2,3.8,5.6,7.2,8.6,9.8,10.8,12,13.8,15.6,17.4,19,20.8,21.8,22.8,23.4,24,24,24.2,24.4,24.4,24.4,24.6,25,25.6,26.8,28.4,30.2,32.4
13,1027,Alabama,Clay County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.6,1,1.4,1.6,1.8,2,2.8,4,5.2,6.6,8,8.6,9,9.6,10,10.6,11.6,12.4,13,13.6,14,14,14.6,15.4,16.4,17.4,18.4,18.8,19,19,19,19,19,19.4,19.8,20.2,20.6
14,1029,Alabama,Cleburne County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,1,1.8,2.8,3.6,4.4,5,5.4,5.8,6.2,6.6,7.2,7.8,8.8,9.8,10.8,11.4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
15,1031,Alabama,Coffee County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0.2,1.2,2.6,4,5.6,7,7.6,8.8,10.2,12,16.6,22.2,26.8,32,38,42,45.8,50.4,55.2,59.4,63.8,68.8,74.4,79,84.4,89.4,94.4,98.4,103.2,107.6,111.6
16,1033,Alabama,Colbert County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.6,0.8,1.2,1.8,2.4,3,3.8,4.4,4.6,5,5.4,5.8,6.2,6.6,7,7.4,7.8,8.4,9.2,9.8,10.6,11.4,12.4,13.4,14.4,15.2,16.6,18,19.4,20.8,22.2,22.8,23.8,24.6,25.8,27.8,30.6
17,1035,Alabama,Conecuh County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.8,1.2,1.6,1.8,2.4,2.8,3,3.2,3.8,4,4.2,4.6,5.6,6.2,7.2,8.2,9,9.2,9.4,9.2,9,9,9,9,9,9,9,9,9
18,1037,Alabama,Coosa County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.8,1.2,1.8,2.4,2.8,3.2,3.8,4.4,5,5.6,6.4,7.2,7.8,8.4,9,9.6,11.4,13.2,15,16.8,18.6,19,19.8,20.6,21.4,22.2,23,24.2,25.6,26.8,27.8,29,29.6,30,30.4,30.4,30.4
19,1039,Alabama,Covington County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,1,1.4,1.8,2.2,2.4,2.8,3.2,3.6,3.8,4.2,5.2,6.4,7.6,9,10.6,11.4,12.6,14,15.4,16.6,18.2,19.4,20.8,22.4,24,25.6,27.4,28.8,30.2,31.6,32.8,33.8,34.8,35.8,37.6
20,1041,Alabama,Crenshaw County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.6,0.8,1,1,1,1,1.2,1.4,1.6,1.8,2,2,2,2,2.2,2.4,2.6,2.8,3.4,3.8,4.4,5,5.6,5.8,6,6.4,7.2,8,9,10.2,11.8,13.2,15,16.6,18.4
21,1043,Alabama,Cullman County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.8,1.2,1.8,2.6,3.4,4.2,5.2,6,6.8,7.2,7.8,8.2,9.8,11.2,12.6,14.8,17.2,18.6,20,23,25.2,28.8,32.2,35.8,37.8,39.6,42.4,43,43.4,44.2,45.2,43.4,43.8,44.8,45.4,46.4,48,49.6,51.2,52.8,54.2,55.2
22,1045,Alabama,Dale County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.8,1.2,2,2.6,3.2,4,4.8,5.2,6,7.6,8.8,10,11.6,12.8,13.8,15.4,17.2,18.6,20.2,21.2,21.8,22.2,23,23.6,24.2,24.6,25.4,25.8,26.4
23,1047,Alabama,Dallas County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.8,1.2,1.6,2,2,2,2,2.4,3.4,4.4,5.4,6.4,7,7,7,7.8,8.4,9.8,11.2,13.2,14.6,16.8,18.2,19.8,21.4,23,24.6,26.4,27.8,29.2,30.4,31.2,32.6,34.2,35.2,37,38.8,41.2
24,1049,Alabama,DeKalb County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,1.2,2,2.8,3.4,4.2,5,6.2,8,10,11.8,13,13.8,14.2,14.8,16.2,18.6,21.2,24,26.4,28.6,30.2,32.8,35.4,38.8,42.6,47.4,51.6,55.4,58.4,62.2,65.4,68.4,71.6,74.8,76,76.6
25,1051,Alabama,Elmore County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.6,1,1.8,2.6,3.4,4.4,5.2,5.6,6.2,7,7.8,9,10.2,11.2,12,12.6,13,14,15.2,16.4,17.6,18.6,19.6,20.2,21.8,23.8,26,28.2,30.8,34,37.6,42.4,46.6,51.2,55.2,59.6,63.4,67.4,70.6,72.8,73.8,75,76,77.6,79.6,82,83.8,86.6
26,1053,Alabama,Escambia County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,2,2.4,2.6,2.8,3.4,3.8,5,6,7,8,8.8,9.2,10.4,11.2,12,13.4,14.6,15.4,17.2,18.8,20,21.6,23.2,24.4,25.4,26.6,27.4,28.2
27,1055,Alabama,Etowah County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.6,2.8,4,5.2,6,7.2,8.6,11.2,15.2,20.6,26.8,32.8,37.6,42.2,47.8,54.4,60.8,67.6,73.4,76.4,78.8,81.2,84.4,88.4,92.8,97.4,103.2,108.6,113.2,117.4,120.6,122.6,124.6,128.2,131.8,134.6,137.6
28,1057,Alabama,Fayette County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.6,0.8,1,1,1,1,1,1,1,1.2,1.6,2.2,2.8,3.4,3.8,4,4,4,4,3.8,3.8,3.8,3.8,3.8,4,4.2,4.4,4.6,5,5.4,5.6,5.8
29,1059,Alabama,Franklin County,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.8,1.4,2,2.4,2.8,3,3,3,3.2,3.6,4.2,4.8,5.4,6,6.4,6.8,7.2,7.6,8.2,8.8,9.6,10.8,12.6,14.2,15.6,16.6,17.4,17.6,18.4,20,23,25.8,30.4,34.6,38.4,41,46.2,53.6,65
