,fips,stname,ctyname
0,1001,Alabama,Autauga County
1,1003,Alabama,Baldwin County
2,1005,Alabama,Barbour County
3,1007,Alabama,Bibb County
4,1009,Alabama,Blount County
5,1011,Alabama,Bullock County
6,1013,Alabama,Butler County
7,1015,Alabama,Calhoun County
8,1017,Alabama,Chambers County
9,1019,Alabama,Cherokee County
10,1021,Alabama,Chilton County
11,1023,Alabama,Choctaw County
12,1025,Alabama,Clarke County
13,1027,Alabama,Clay County
14,1029,Alabama,Cleburne County
15,1031,Alabama,Coffee County
16,1033,Alabama,Colbert County
17,1035,Alabama,Conecuh County
18,1037,Alabama,Coosa County
19,1039,Alabama,Covington County
20,1041,Alabama,Crenshaw County
21,1043,Alabama,Cullman County
22,1045,Alabama,Dale County
23,1047,Alabama,Dallas County
24,1049,Alabama,DeKalb County
25,1051,Alabama,Elmore County
26,1053,Alabama,Escambia County
27,1055,Alabama,Etowah County
28,1057,Alabama,Fayette County
29,1059,Alabama,Franklin County
30,1061,Alabama,Geneva County
31,1063,Alabama,Greene County
32,1065,Alabama,Hale County
33,1067,Alabama,Henry County
34,1069,Alabama,Houston County
35,1071,Alabama,Jackson County
36,1073,Alabama,Jefferson County
37,1075,Alabama,Lamar County
38,1077,Alabama,Lauderdale County
39,1079,Alabama,Lawrence County
40,1081,Alabama,Lee County
41,1083,Alabama,Limestone County
42,1085,Alabama,Lowndes County
43,1087,Alabama,Macon County
44,1089,Alabama,Madison County
45,1091,Alabama,Marengo County
46,1093,Alabama,Marion County
47,1095,Alabama,Marshall County
48,1097,Alabama,Mobile County
49,1099,Alabama,Monroe County
50,1101,Alabama,Montgomery County
51,1103,Alabama,Morgan County
52,1105,Alabama,Perry County
53,1107,Alabama,Pickens County
54,1109,Alabama,Pike County
55,1111,Alabama,Randolph County
56,1113,Alabama,Russell County
57,1115,Alabama,St. Clair County
58,1117,Alabama,Shelby County
59,1119,Alabama,Sumter County
60,1121,Alabama,Talladega County
61,1123,Alabama,Tallapoosa County
62,1125,Alabama,Tuscaloosa County
63,1127,Alabama,Walker County
64,1129,Alabama,Washington County
65,1131,Alabama,Wilcox County
66,1133,Alabama,Winston County
67,2013,Alaska,Aleutians East Borough
68,2016,Alaska,Aleutians West Census Area
69,2020,Alaska,Anchorage Municipality
70,2050,Alaska,Bethel Census Area
71,2060,Alaska,Bristol Bay Borough
72,2068,Alaska,Denali Borough
73,2070,Alaska,Dillingham Census Area
74,2090,Alaska,Fairbanks North Star Borough
75,2100,Alaska,Haines Borough
76,2105,Alaska,Hoonah-Angoon Census Area
77,2110,Alaska,Juneau City and Borough
78,2122,Alaska,Kenai Peninsula Borough
79,2130,Alaska,Ketchikan Gateway Borough
80,2150,Alaska,Kodiak Island Borough
81,2158,Alaska,Kusilvak Census Area
82,2164,Alaska,Lake and Peninsula Borough
83,2170,Alaska,Matanuska-Susitna Borough
84,2180,Alaska,Nome Census Area
85,2185,Alaska,North Slope Borough
86,2188,Alaska,Northwest Arctic Borough
87,2195,Alaska,Petersburg Borough
88,2198,Alaska,Prince of Wales-Hyder Census Area
89,2220,Alaska,Sitka City and Borough
90,2230,Alaska,Skagway Municipality
91,2240,Alaska,Southeast Fairbanks Census Area
92,2261,Alaska,Valdez-Cordova Census Area
93,2275,Alaska,Wrangell City and Borough
94,2282,Alaska,Yakutat City and Borough
95,2290,Alaska,Yukon-Koyukuk Census Area
96,4001,Arizona,Apache County
97,4003,Arizona,Cochise County
98,4005,Arizona,Coconino County
99,4007,Arizona,Gila County
100,4009,Arizona,Graham County
101,4011,Arizona,Greenlee County
102,4012,Arizona,La Paz County
103,4013,Arizona,Maricopa County
104,4015,Arizona,Mohave County
105,4017,Arizona,Navajo County
106,4019,Arizona,Pima County
107,4021,Arizona,Pinal County
108,4023,Arizona,Santa Cruz County
109,4025,Arizona,Yavapai County
110,4027,Arizona,Yuma County
111,5001,Arkansas,Arkansas County
112,5003,Arkansas,Ashley County
113,5005,Arkansas,Baxter County
114,5007,Arkansas,Benton County
115,5009,Arkansas,Boone County
116,5011,Arkansas,Bradley County
117,5013,Arkansas,Calhoun County
118,5015,Arkansas,Carroll County
119,5017,Arkansas,Chicot County
120,5019,Arkansas,Clark County
121,5021,Arkansas,Clay County
122,5023,Arkansas,Cleburne County
123,5025,Arkansas,Cleveland County
124,5027,Arkansas,Columbia County
125,5029,Arkansas,Conway County
126,5031,Arkansas,Craighead County
127,5033,Arkansas,Crawford County
128,5035,Arkansas,Crittenden County
129,5037,Arkansas,Cross County
130,5039,Arkansas,Dallas County
131,5041,Arkansas,Desha County
132,5043,Arkansas,Drew County
133,5045,Arkansas,Faulkner County
134,5047,Arkansas,Franklin County
135,5049,Arkansas,Fulton County
136,5051,Arkansas,Garland County
137,5053,Arkansas,Grant County
138,5055,Arkansas,Greene County
139,5057,Arkansas,Hempstead County
140,5059,Arkansas,Hot Spring County
141,5061,Arkansas,Howard County
142,5063,Arkansas,Independence County
143,5065,Arkansas,Izard County
144,5067,Arkansas,Jackson County
145,5069,Arkansas,Jefferson County
146,5071,Arkansas,Johnson County
147,5073,Arkansas,Lafayette County
148,5075,Arkansas,Lawrence County
149,5077,Arkansas,Lee County
150,5079,Arkansas,Lincoln County
151,5081,Arkansas,Little River County
152,5083,Arkansas,Logan County
153,5085,Arkansas,Lonoke County
154,5087,Arkansas,Madison County
155,5089,Arkansas,Marion County
156,5091,Arkansas,Miller County
157,5093,Arkansas,Mississippi County
158,5095,Arkansas,Monroe County
159,5097,Arkansas,Montgomery County
160,5099,Arkansas,Nevada County
161,5101,Arkansas,Newton County
162,5103,Arkansas,Ouachita County
163,5105,Arkansas,Perry County
164,5107,Arkansas,Phillips County
165,5109,Arkansas,Pike County
